1746360623.3145185,6.46,-7.79,-2.29,-3.6,0.37,0.05,-47.23,-47.23
1746360623.321998,6.46,-7.77,-2.27,-3.59,0.15,-0.02,-48.18,-48.02
1746360623.3274121,6.44,-7.84,-2.27,-3.53,0.02,0.22,-48.78,-48.55
1746360623.3321319,6.51,-7.75,-2.35,-3.53,0.4,-0.03,-48.57,-48.32
1746360623.336741,6.47,-7.86,-2.35,-3.76,0.15,-0.03,-48.88,-48.62
1746360623.3426106,6.45,-7.85,-2.33,-3.27,0.15,0.15,-49.01,-48.78
1746360623.3468838,6.44,-7.84,-2.27,-3.55,0.0,0.14,-49.11,-48.86
1746360623.3520005,6.4,-7.76,-2.34,-3.63,0.25,-0.14,-49.04,-48.76
1746360623.355371,6.45,-7.91,-2.29,-3.6,0.27,0.04,-49.26,-48.96
1746360623.3616931,6.48,-7.79,-2.25,-3.49,0.18,0.01,-49.07,-48.75
1746360623.4457638,6.41,-7.8,-2.31,-3.46,0.21,-0.15,-49.15,-48.81
1746360623.5566103,6.47,-7.82,-2.31,-3.73,0.15,0.15,-49.14,-48.75
1746360623.6671457,6.46,-7.85,-2.29,-3.59,0.17,0.05,-49.22,-48.79
1746360623.7819228,6.41,-7.83,-2.31,-3.69,0.36,-0.11,-49.35,-48.85
1746360623.892294,6.46,-7.79,-2.25,-3.63,0.3,0.1,-49.33,-48.78
1746360623.998972,6.41,-7.76,-2.24,-3.48,0.12,0.09,-49.36,-48.78
1746360624.1137826,6.44,-7.82,-2.28,-3.47,0.34,0.03,-49.42,-48.78
1746360624.2238526,6.5,-7.78,-2.28,-3.67,0.4,-0.31,-49.37,-48.65
1746360624.3346112,6.42,-7.84,-2.28,-3.35,0.15,0.22,-49.5,-48.74
1746360624.4456909,6.49,-7.81,-2.25,-3.59,-0.03,0.51,-49.53,-48.72
1746360624.5602555,6.41,-7.8,-2.3,-3.53,0.11,-0.05,-49.63,-48.76
1746360624.666848,6.43,-7.81,-2.31,-3.63,0.19,0.03,-49.71,-48.76
1746360624.7773025,6.5,-7.81,-2.1,-3.23,0.66,-0.51,-49.76,-48.72
1746360624.891847,6.42,-7.83,-2.33,-3.11,0.37,-0.06,-49.81,-48.73
1746360625.0027008,6.37,-7.81,-2.34,-3.19,0.12,-0.03,-49.9,-48.79
1746360625.1132665,6.41,-7.8,-2.18,-3.57,0.32,-0.08,-50.02,-48.81
1746360625.2235038,6.43,-7.88,-2.31,-3.68,0.13,0.21,-50.15,-48.86
1746360625.3342245,6.46,-7.84,-2.35,-3.6,-0.01,0.15,-50.19,-48.84
1746360625.4448516,6.43,-7.77,-2.2,-3.73,0.26,0.05,-50.26,-48.82
1746360625.555174,6.42,-7.8,-2.2,-3.66,0.32,-0.2,-50.34,-48.82
1746360625.6660194,6.45,-7.81,-2.27,-3.14,0.18,0.05,-50.35,-48.8
1746360625.7763224,6.38,-7.82,-2.33,-3.52,0.24,0.22,-50.44,-48.82
1746360625.8877144,6.42,-7.8,-2.35,-3.54,0.34,0.02,-50.47,-48.78
1746360626.001804,6.48,-7.86,-2.42,-3.44,0.34,-0.02,-50.48,-48.73
1746360626.1122231,6.45,-7.86,-2.22,-3.67,0.1,0.07,-50.58,-48.78
1746360626.2231772,6.45,-7.83,-2.32,-3.66,0.18,-0.04,-50.61,-48.76
1746360626.3332982,6.46,-7.87,-2.25,-3.53,0.08,0.02,-50.69,-48.8
1746360626.443823,6.45,-7.86,-2.3,-3.7,0.39,0.02,-50.75,-48.78
1746360626.5543675,6.46,-7.77,-2.29,-3.42,0.08,0.01,-50.71,-48.74
1746360626.6652265,6.4,-7.81,-2.29,-3.56,0.3,-0.02,-50.77,-48.75
1746360626.7757597,6.43,-7.76,-2.28,-3.61,0.26,0.26,-50.78,-48.71
1746360626.8868608,6.39,-7.81,-2.35,-3.56,0.05,-0.04,-50.82,-48.74
1746360626.9974742,6.42,-7.79,-2.21,-3.25,0.52,-0.04,-50.83,-48.73
1746360627.1074188,6.47,-7.85,-2.21,-3.76,0.11,0.49,-50.89,-48.75
1746360627.218555,6.45,-7.86,-2.19,-3.52,0.12,0.02,-50.93,-48.79
1746360627.3294313,6.43,-7.85,-2.37,-3.63,0.02,-0.05,-50.94,-48.8
1746360627.4396222,6.43,-7.81,-2.27,-3.29,-0.09,0.06,-50.93,-48.82
1746360627.5500371,6.45,-7.82,-2.26,-3.62,0.02,0.05,-50.94,-48.82
1746360627.6607068,6.46,-7.82,-2.34,-3.79,0.28,0.08,-50.94,-48.77
1746360627.7750132,6.41,-7.77,-2.24,-3.63,0.23,-0.08,-50.96,-48.76
1746360627.88593,6.42,-7.84,-2.2,-3.67,0.18,-0.02,-51.01,-48.8
1746360627.99693,6.41,-7.81,-2.23,-3.46,0.38,0.27,-51.02,-48.79
1746360628.1067815,6.42,-7.86,-2.25,-3.51,0.29,0.02,-51.05,-48.82
1746360628.2177784,6.46,-7.84,-2.26,-3.53,0.31,0.22,-51.03,-48.79
1746360628.3284976,6.48,-7.81,-2.19,-3.46,0.23,0.22,-51.0,-48.77
1746360628.4387848,6.42,-7.81,-2.18,-3.37,0.09,0.02,-51.01,-48.8
1746360628.5495,6.47,-7.82,-2.28,-3.58,0.05,-0.08,-50.98,-48.78
